491,121,103,288
492,123,102,286
496,125,100,282
500,132,98,276
502,135,98,275
511,139,97,273
518,134,97,273
523,125,98,275
521,121,98,276
527,121,98,275
531,129,97,273
534,117,100,281
536,119,100,282
539,123,99,277
541,129,97,272
543,132,95,267
546,137,92,259
549,139,89,251
552,146,86,242
555,145,83,234
557,141,81,228
560,140,78,219
562,131,76,214
564,134,74,208
566,128,72,203
565,124,73,205
564,121,74,208
562,122,76,212
561,119,77,217
558,119,80,224
555,123,83,233
553,118,84,236
546,119,86,243
540,115,87,245
531,120,87,243
526,120,86,242
522,109,87,245
521,93,88,246
516,104,87,245
514,111,87,244
508,104,88,246
505,104,87,244
497,105,89,249
498,111,87,245
492,108,89,249
484,112,88,248
479,106,88,247
472,104,88,246
469,102,87,244
465,107,89,249
458,108,88,247
452,106,88,248
446,107,88,247
442,109,87,245
437,110,87,245
429,107,86,241
434,115,86,240
425,116,85,238
424,120,86,240
418,116,86,242
420,111,87,244
419,112,88,246
416,107,88,246
412,105,90,252
409,98,91,256
409,97,91,256
411,105,89,250
405,108,89,250
405,108,90,252
405,101,91,255
403,90,90,253
402,95,91,254
396,96,91,254
390,95,91,254
386,95,91,255
378,99,92,257
373,106,92,259
367,107,90,253
362,105,89,250
359,103,88,246
356,93,88,246
346,90,88,247
344,93,88,248
343,96,88,246
338,97,87,244
333,109,85,238
330,114,84,235
327,117,85,238
323,114,85,240
322,114,84,236
312,118,83,234
302,108,84,235
293,111,82,230
293,109,82,230
290,115,82,229
279,113,82,230
273,124,80,224
268,119,80,223
264,113,79,223
256,116,78,220
254,119,77,217
252,116,76,214
247,104,74,209
248,111,74,206
250,119,72,203
240,114,72,202
154,75,71,198
62,142,70,197
0,163,71,198
0,157,72,201
0,165,70,196
0,162,69,195
0,158,70,196
0,164,69,194
0,165,68,190
0,168,67,188
0,175,66,186
6,168,67,189
22,168,67,189
26,164,67,189
33,169,66,185
41,171,64,181
45,171,64,181
51,168,65,181
63,173,65,182
71,170,66,185
78,170,67,187
89,166,66,185
98,169,66,184
106,167,65,183
115,168,64,181
118,172,63,178
128,170,63,178
131,171,62,174
140,171,62,173
143,170,62,173
149,174,62,174
153,172,62,174
158,171,62,173
157,170,61,172
160,170,61,173
169,175,60,170
168,170,60,168
170,165,61,172
172,164,60,170
172,160,61,173
172,155,62,173
173,151,61,171
177,150,59,167
176,148,59,166
177,139,58,163
176,134,57,162
172,125,58,162
175,121,57,161
174,121,58,162
174,116,57,160
181,118,57,159
176,117,56,158
176,116,57,160
177,122,56,159
183,126,56,157
177,129,55,155
178,134,55,156
175,137,55,155
179,140,55,156
182,144,55,154
182,143,55,154
183,148,54,151
182,152,54,151
188,153,53,148
185,156,53,149
185,160,53,149
189,158,53,150
185,160,54,151
189,167,54,151
190,166,54,151
185,170,53,150
190,177,54,151
191,181,54,151
188,176,54,153
188,181,54,152
186,179,55,155
184,181,55,156
186,178,55,156
